Date,Inflation,Unemployment,GDP,InterestRate,M2,Oil
2009-04-01,213.24,9,-0.7,0.15,8391.4,48.46
2009-07-01,215.351,9.5,1.4,0.16,8463.8,69.32
2009-10-01,216.177,10,4.4,0.12,8488.1,70.67
2010-04-01,218.009,9.9,3.9,0.2,8555.1,84.53
2010-07-01,218.011,9.4,3.1,0.18,8639.8,72.95
2010-10-01,218.711,9.4,2.1,0.19,8768.7,81.57
2011-04-01,224.906,9.1,2.7,0.1,9030.4,107.55
2011-07-01,225.922,9,-0.1,0.07,9338.7,94.81
2012-10-01,231.317,7.8,0.5,0.16,10282.8,92.44
2013-04-01,232.531,7.6,1.1,0.15,10600.4,97.1
2013-07-01,233.596,7.3,3.5,0.09,10731.5,97.94
2013-10-01,233.546,7.2,3.5,0.09,10974.2,102.09
2014-04-01,237.072,6.2,5.3,0.09,11264,99.69
2014-07-01,238.25,6.2,5,0.09,11438.4,106.06
2014-10-01,237.433,5.7,2,0.09,11577.5,90.74
2015-04-01,236.599,5.4,2.5,0.12,11937.6,50.12
2015-07-01,238.654,5.2,1.6,0.13,12049.2,56.94
2015-10-01,237.838,5,0.7,0.12,12206.1,44.75
2016-04-01,239.261,5.1,1.3,0.37,12708,35.36
2016-07-01,240.628,4.8,2.9,0.39,12889.7,49.02
2018-10-01,252.885,3.8,0.6,2.19,14241.4,75.37
2019-04-01,255.548,3.7,3.4,2.42,14554.5,61.59
2019-07-01,256.571,3.7,4.8,2.4,14853.5,58.91
2019-10-01,257.346,3.6,2.8,1.83,15167.3,53.6
2020-04-01,256.389,14.8,-28.1,0.05,17005.8,20.28
2020-07-01,259.101,10.2,35.2,0.09,18298,39.88
2020-10-01,260.388,6.9,4.4,0.09,18751.3,38.51
2021-04-01,267.054,6.1,6.4,0.07,20160.7,61.41
2021-07-01,273.003,5.4,3.5,0.1,20628.7,75.33
2021-10-01,276.589,4.5,7.4,0.08,21142.9,76.01
2022-04-01,289.109,3.7,0.3,0.33,21749.6,99.32
2022-07-01,296.276,3.5,2.7,1.68,21641.8,110.3
2024-04-01,313.548,3.9,3,5.33,20932.9,84.54
2024-07-01,314.54,4.2,3.1,5.33,21098.1,84.7
2024-10-01,315.664,4.1,2.4,4.83,21335.3,70.41
NA,NA,NA,NA,NA,NA,NA
